"Source:","C:\Users\Dlanyar\Desktop\Carte_elec_video_tigresse2\Carte_elec_video_tigresse2.kicad_sch"
"Date:","15/01/2022 18:31:03"
"Tool:","Eeschema (6.0.0)"
"Generator:","E:\Programmes\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","11"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","D_green1","LED","Device:LED","LED_THT:LED_D3.0mm","~"
"","","D_white1","LED","Device:LED","LED_THT:LED_D3.0mm","~"
"","","J1","Conn_01x01_Male","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.3mm_L11.0mm_LooseFit","~"
"","","J2","Conn_01x01_Male","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.3mm_L11.0mm_LooseFit","~"
"","","J3","Conn_01x01_Male","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.3mm_L11.0mm_LooseFit","~"
"","","J4","Conn_01x01_Male","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.3mm_L11.0mm_LooseFit","~"
"","","J_entry_cam_1","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
"","","J_entry_cam_2","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
"","","J_entry_power_source1","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
"","","R1","330","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","SW1","SW_DIP_x01","Switch:SW_DIP_x01","Button_Switch_THT:SW_CuK_OS102011MA1QN1_SPDT_Angled","~"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","2","D_green1, D_white1","LED","Device:LED","LED_THT:LED_D3.0mm","~"
"2","4","J1, J2, J3, J4","Conn_01x01_Male","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.3mm_L11.0mm_LooseFit","~"
"3","3","J_entry_cam_1, J_entry_cam_2, J_entry_power_source1","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
"4","1","R1","330","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"5","1","SW1","SW_DIP_x01","Switch:SW_DIP_x01","Button_Switch_THT:SW_CuK_OS102011MA1QN1_SPDT_Angled","~"
